Org Type,Beds,USNEWS Directory,City,State,Par Org,Organization,Pri. Domain,Full Org URL,YouTube Account,YouTube Date,YouTube URL ,TW 1st update,Twitter Account,Twitter URL,FaceBook URL,Blog,FourSquare,LinkedIn,Pinterest,Google+,Delicious,Flickr,Quantcast,Compete
H-GenMed&Surg,25,http://health.usnews.com/best-hospitals/samaritan-north-lincoln-hosp-6920243,Lincoln City,OR,Samaritan Health Services,Samaritan North Lincoln Hospital,samhealth.org,http://www.samhealth.org/patientsvisitors/sites/samaritannorthlincolnhospital/Pages/default.aspx,none,,none,22/07/2009,SamaritanNLH,http://twitter.com/#!/SamaritanNLH,none,none,http://foursquare.com/venue/4078924,none,,,,,,
H-GenMed&Surg,42,http://health.usnews.com/best-hospitals/samaritan-pacific-comm-hosp-6920325,Newport,OR,Samaritan Health Services,Samaritan Pacific Communities Hospital,samhealth.org,http://www.samhealth.org/patientsvisitors/sites/samaritanpacificcommunitieshospital/Pages/default.aspx,none,,none,28/07/2009,SamaritanPCH,http://twitter.com/#!/SamaritanPCH,none,none,none,none,,,,,,
H-GenMed&Surg,234,http://health.usnews.com/best-hospitals/adventist-medical-center-6920510,Portland,OR,Adventist Health,Adventist Medical Center,adventisthealthnw.com,http://www.adventisthealthnw.com/,adventisthealthnw,11/18/08,http://www.youtube.com/adventisthealthnw,23/07/2009,ahnw,http://twitter.com/#!/ahnw,http://www.facebook.com/AdventistHealthNW,none,http://foursquare.com/venue/2476819,none,,,,,,
H-Childrens,na,none,Portland,OR,none,Doernbecher Children's Hospital at Oregon Health Sciences University,ohsu.edu,http://www.ohsu.edu/xd/services/doernbecher/index.cfm,none,,none,,none,none,http://www.facebook.com/doernbecher,none,none,none,,,,,,
H-GenMed&Surg,534,http://health.usnews.com/best-hospitals/ohsu-hospital-6920570,Portland,OR,none,Oregon Health and Science University Hospital,ohsu.edu,http://www.ohsu.edu,ohsuvideo,05/07/08,http://www.youtube.com/ohsuvideo,28/01/2009,OHSUHealthcare,http://twitter.com/OHSUHealthcare,http://www.facebook.com/OHSUedu,none,http://foursquare.com/venue/9414530,http://www.linkedin.com/company/165292,,,,,,
H-GenMed&Surg,221,http://health.usnews.com/best-hospitals/veterans-affairs-medical-center-6920590,Portland,OR,VA,Portland VAMC,portland.va.gov,http://www.portland.va.gov/,none,,none,13/10/2009,vaportland,http://twitter.com/vaportland,http://www.facebook.com/vaportland,none,none,none,,,,,,
H-GenMed&Surg,538,http://health.usnews.com/best-hospitals/providence-st.-vincent-medical-center-6920540,Portland,OR,Providence Health & Services,Providence St. Vincent Medical Center,oregon.providence.org,http://oregon.providence.org/patients/facilities/providence-st-vincent-medical-center/Pages/default.aspx#utm_source=-oregon&utm_medium=redirect&utm_campaign=old-site,none,,none,06/01/2010,provhealth,https://twitter.com/#!/provhealth,http://www.facebook.com/Providence.St.Vincent.Medical.Center,none,https://foursquare.com/venue/135681,none,,,,,,
H-GenMed&Surg,417,http://health.usnews.com/best-hospitals/salem-hospital-6920708 ,Salem,OR,Salem Health,Salem Hospital,salemhospital.org,http://www.salemhospital.org/,none,,none,05/05/2009,salemhospital,http://twitter.com/salemhospital,none,none,http://foursquare.com/venue/9445764,http://www.linkedin.com/companies/salem-hospital,,,,,,
H-GenMed&Surg,na,none,White City,OR,Department of Veterans Affairs,VA Southern Oregon Rehabilitation Center & Clinics,southernoregon.va.gov,http://www.southernoregon.va.gov/,none,,none,08/10/2010,VAsouthoregon,http://twitter.com/#!/VAsouthoregon,http://www.facebook.com/VASouthOregon,none,none,none,,,,,,
H-GenMed&Surg,606,http://health.usnews.com/best-hospitals/abington-memorial-hospital-6230010,Abington,PA,None,Abington Memorial Hospital,amh.org,http://www.amh.org,AbingtonHealth,04/22/10,http://www.youtube.com/AbingtonHealth,22/03/2010,AbingtonHealth,http://twitter.com/AbingtonHealth,http://www.facebook.com/pages/Abington-Memorial-Hospital/19632684963,none,http://foursquare.com/venue/408865,http://www.linkedin.com/companies/abington-memorial-hospital,,,,,,
